game_genre,resolution,preset,ray_tracing,upscaling,gpu_utilization,vram_used_mb,vram_utilization,cpu_utilization,ram_utilization,gpu_temperature,gpu_clock_mhz,gpu_power_watts,cpu_gpu_ratio,vram_pressure,thermal_throttle,resolution_width,resolution_height,total_pixels,preset_ordinal,fps,frame_time,low_1pct_fps,bottleneck_class,health_score
strategy,2560x1440,ultra,0,dlss_quality,99.0,3102.68,75.75,56.98,91.14,88.59,1595.88,80.0,0.5756,1,1,2560,1440,3686400,3,23.6,42.37,13.8,THERMAL,30.7
rpg_open_world,2560x1440,ultra,0,none,91.85,3202.0,78.17,62.17,78.39,94.01,1629.71,78.18,0.6768,1,1,2560,1440,3686400,3,23.3,42.92,13.7,THERMAL,45.5
strategy,2560x1440,ultra,0,fsr_balanced,90.4,2798.65,68.33,68.94,85.14,93.88,1492.44,79.73,0.7626,1,1,2560,1440,3686400,3,30.2,33.11,14.1,THERMAL,45.1
moba,3840x2160,high,1,none,96.4,3751.64,91.59,46.83,85.95,92.32,1508.88,74.98,0.4858,1,1,3840,2160,8294400,2,11.1,90.09,6.7,THERMAL,32.4
strategy,2560x1440,high,0,none,74.45,2603.29,63.56,78.2,78.36,83.15,1692.62,61.38,1.0504,1,0,2560,1440,3686400,2,34.1,29.33,19.7,BALANCED,58.3
strategy,1920x1080,medium,0,none,65.34,1701.7,41.55,69.63,82.44,71.59,1695.0,73.1,1.0657,0,0,1920,1080,2073600,1,67.5,14.81,34.7,BALANCED,95.0
fps_aaa,1920x1080,epic,0,dlss_quality,90.85,2939.8,71.77,38.91,78.31,94.37,1639.73,72.0,0.4283,0,1,1920,1080,2073600,4,56.9,17.57,28.9,THERMAL,67.9
strategy,1920x1080,medium,0,none,60.55,1486.24,36.29,69.72,90.0,66.45,1695.0,66.94,1.1514,0,0,1920,1080,2073600,1,64.0,15.62,32.0,BALANCED,85.0
fps_aaa,2560x1440,high,1,none,79.28,3085.33,75.33,53.8,79.3,81.86,1642.87,80.0,0.6786,0,0,2560,1440,3686400,2,28.6,34.97,17.0,BALANCED,58.5
battle_royale,3840x2160,ultra,1,fsr_quality,99.0,4129.46,100.82,48.66,74.53,92.01,1526.41,77.81,0.4915,1,1,3840,2160,8294400,3,8.8,113.64,5.6,THERMAL,35.9
strategy,1920x1080,high,0,fsr_balanced,76.02,2037.39,49.74,87.51,89.06,77.29,1592.61,70.42,1.1512,0,0,1920,1080,2073600,2,97.7,10.24,45.9,CPU,88.1
battle_royale,1920x1080,medium,0,none,77.34,1701.06,41.53,66.23,75.21,79.04,1695.0,74.1,0.8563,0,0,1920,1080,2073600,1,121.3,8.24,58.5,BALANCED,87.9
strategy,3840x2160,ultra,0,dlss_balanced,99.0,3425.54,83.63,89.09,76.37,94.34,1645.87,80.0,0.8999,1,1,3840,2160,8294400,3,13.4,74.63,6.6,THERMAL,38.9
battle_royale,1920x1080,medium,1,none,61.11,2283.15,55.74,55.08,75.21,69.01,1666.56,71.15,0.9013,0,0,1920,1080,2073600,1,65.3,15.31,40.8,BALANCED,100.0
moba,1920x1080,epic,0,fsr_balanced,99.0,2688.9,65.65,75.88,80.3,96.52,1400.03,80.0,0.7665,1,1,1920,1080,2073600,4,99.4,10.06,49.5,THERMAL,70.0
strategy,2560x1440,ultra,1,dlss_performance,99.0,3870.61,94.5,71.21,76.14,93.85,1551.89,80.0,0.7193,1,1,2560,1440,3686400,3,13.3,75.19,7.7,THERMAL,38.9
battle_royale,1920x1080,high,0,none,87.51,2249.93,54.93,57.05,78.5,84.35,1695.0,73.1,0.6519,0,0,1920,1080,2073600,2,86.0,11.63,54.0,BALANCED,72.0
fps_aaa,1920x1080,low,0,none,66.23,1190.61,29.07,42.23,86.16,63.66,1695.0,66.67,0.6375,0,0,1920,1080,2073600,0,126.4,7.91,68.7,BALANCED,95.0
fps_aaa,2560x1440,ultra,0,dlss_quality,84.17,2932.27,71.59,54.62,63.24,86.1,1610.9,80.0,0.6489,0,1,2560,1440,3686400,3,52.4,19.08,33.8,THERMAL,64.9
battle_royale,1280x720,ultra,0,dlss_performance,69.78,2264.67,55.29,45.27,80.99,85.21,1695.0,80.0,0.6487,0,1,1280,720,921600,3,177.4,5.64,100.6,THERMAL,70.0
strategy,1280x720,medium,0,dlss_balanced,70.52,1348.6,32.92,62.92,74.4,67.24,1652.94,65.89,0.8922,0,0,1280,720,921600,1,174.1,5.74,112.3,BALANCED,100.0
rpg_open_world,2560x1440,high,0,dlss_quality,77.81,2357.87,57.57,60.92,88.99,85.73,1646.46,63.67,0.7829,0,1,2560,1440,3686400,2,69.6,14.37,44.8,THERMAL,65.0
rpg_open_world,1920x1080,low,1,none,59.74,1660.73,40.55,75.12,79.16,75.27,1695.0,62.69,1.2574,0,0,1920,1080,2073600,0,66.2,15.11,33.0,BALANCED,99.2
fps_competitive,1920x1080,epic,0,none,97.48,2657.0,64.87,68.41,76.18,94.84,1695.0,79.69,0.7018,1,1,1920,1080,2073600,4,62.6,15.97,38.8,THERMAL,70.0
racing,3840x2160,low,0,fsr_quality,60.13,1747.94,42.67,37.45,85.28,69.87,1695.0,74.1,0.6228,0,0,3840,2160,8294400,0,80.9,12.36,45.4,BALANCED,95.0
rpg_open_world,3840x2160,high,0,dlss_quality,99.0,2619.88,63.96,42.2,77.67,92.09,1586.09,69.31,0.4263,0,1,3840,2160,8294400,2,26.2,38.17,15.1,THERMAL,47.5
rpg_open_world,1920x1080,medium,1,none,67.93,2073.32,50.62,46.6,71.64,74.32,1695.0,63.85,0.686,0,0,1920,1080,2073600,1,48.5,20.62,23.7,BALANCED,92.3
rpg_open_world,2560x1440,high,0,none,98.46,2673.81,65.28,79.82,76.28,88.81,1572.36,76.34,0.8106,0,1,2560,1440,3686400,2,38.0,26.32,20.8,THERMAL,55.3
racing,1920x1080,ultra,0,none,87.81,2527.36,61.7,37.8,81.48,85.33,1591.87,80.0,0.4304,0,1,1920,1080,2073600,3,83.8,11.93,43.9,THERMAL,70.0
fps_aaa,2560x1440,low,0,fsr_balanced,69.23,1328.72,32.44,56.69,78.48,79.25,1498.46,65.18,0.8188,0,0,2560,1440,3686400,0,114.8,8.71,60.3,BALANCED,87.3
fps_aaa,1920x1080,ultra,1,fsr_balanced,75.38,2970.78,72.53,35.07,75.65,80.73,1695.0,79.2,0.4652,0,0,1920,1080,2073600,3,49.6,20.16,27.9,BALANCED,75.9
fps_competitive,1920x1080,high,0,dlss_balanced,61.68,1924.55,46.99,58.95,77.87,71.29,1594.29,72.53,0.9558,0,0,1920,1080,2073600,2,296.1,3.38,138.4,BALANCED,100.0
racing,1920x1080,ultra,1,fsr_balanced,83.16,3261.44,79.62,43.5,72.55,83.12,1695.0,76.61,0.523,1,0,1920,1080,2073600,3,59.5,16.81,37.8,BALANCED,75.3
strategy,1920x1080,high,0,none,78.12,2513.46,61.36,62.85,79.6,80.3,1695.0,76.16,0.8045,1,0,1920,1080,2073600,2,59.9,16.69,30.8,BALANCED,84.0
rpg_open_world,1920x1080,high,1,none,68.18,2961.47,72.3,63.6,82.63,73.79,1695.0,60.01,0.9328,0,0,1920,1080,2073600,2,34.7,28.82,22.1,BALANCED,78.1
racing,2560x1440,high,0,dlss_performance,80.93,2583.43,63.07,31.58,80.12,84.55,1695.0,75.91,0.3902,0,0,2560,1440,3686400,2,146.1,6.84,71.2,BALANCED,71.4
rpg_open_world,2560x1440,high,0,dlss_balanced,94.61,2250.19,54.94,51.92,71.95,81.09,1666.88,78.21,0.5488,0,0,2560,1440,3686400,2,85.7,11.67,42.5,GPU,81.7
fps_competitive,1920x1080,high,1,none,54.69,2977.73,72.7,67.32,72.71,67.08,1695.0,64.08,1.2311,1,0,1920,1080,2073600,2,73.1,13.68,43.7,BALANCED,100.0
rpg_open_world,2560x1440,medium,0,none,89.08,1913.95,46.73,60.02,82.97,89.23,1595.93,74.04,0.6738,0,1,2560,1440,3686400,1,46.0,21.74,27.3,THERMAL,55.7
fps_aaa,1280x720,high,0,fsr_balanced,70.46,1900.13,46.39,50.58,79.96,76.08,1578.82,73.73,0.7179,0,0,1280,720,921600,2,165.4,6.05,104.6,BALANCED,96.8
racing,1920x1080,medium,0,fsr_quality,74.64,1625.84,39.69,50.72,76.9,76.27,1657.38,69.11,0.6796,0,0,1920,1080,2073600,1,181.6,5.51,112.1,BALANCED,96.2
fps_competitive,2560x1440,high,0,none,83.74,2404.09,58.69,48.73,68.07,86.97,1671.26,67.86,0.582,1,1,2560,1440,3686400,2,86.4,11.57,51.6,THERMAL,70.0
fps_competitive,1920x1080,low,0,none,47.45,1182.49,28.87,55.77,83.44,60.66,1642.59,63.83,1.1755,0,0,1920,1080,2073600,0,268.1,3.73,145.3,BALANCED,95.0
moba,1920x1080,low,0,none,51.58,1172.86,28.63,60.49,82.05,64.75,1695.0,75.9,1.1728,0,0,1920,1080,2073600,0,274.5,3.64,127.1,BALANCED,95.0
racing,2560x1440,high,0,none,97.73,2511.11,61.31,43.82,73.71,90.42,1599.0,80.0,0.4484,0,1,2560,1440,3686400,2,58.0,17.24,32.2,THERMAL,68.7
fps_competitive,1280x720,medium,0,fsr_balanced,58.77,1395.88,34.08,41.71,80.94,65.56,1695.0,64.37,0.7097,0,0,1280,720,921600,1,400.0,2.5,237.8,BALANCED,100.0
racing,2560x1440,high,0,none,89.74,2604.82,63.59,40.9,70.49,90.08,1603.99,73.8,0.4558,0,1,2560,1440,3686400,2,69.7,14.35,35.0,THERMAL,70.0
fps_aaa,1920x1080,low,0,none,51.98,1235.19,30.16,59.52,80.83,66.06,1616.92,63.09,1.145,0,0,1920,1080,2073600,0,134.8,7.42,65.6,BALANCED,100.0
fps_aaa,1280x720,medium,0,fsr_quality,48.02,1281.29,31.28,42.82,78.6,59.09,1695.0,71.83,0.8917,0,0,1280,720,921600,1,201.9,4.95,124.4,BALANCED,100.0
strategy,1920x1080,medium,0,none,57.75,1705.49,41.64,79.44,91.79,74.73,1695.0,72.23,1.3757,0,0,1920,1080,2073600,1,61.2,16.34,32.7,BALANCED,85.0
fps_aaa,1920x1080,ultra,1,dlss_quality,76.11,3158.8,77.12,32.93,69.89,78.35,1695.0,66.89,0.4327,0,0,1920,1080,2073600,3,54.6,18.32,31.8,BALANCED,86.4
racing,1920x1080,high,0,none,75.27,2292.6,55.97,41.19,71.71,71.39,1666.93,66.11,0.5473,0,0,1920,1080,2073600,2,105.0,9.52,62.1,BALANCED,100.0
fps_aaa,1920x1080,low,1,none,54.54,1712.36,41.81,40.41,84.06,63.07,1695.0,70.51,0.741,0,0,1920,1080,2073600,0,68.9,14.51,41.0,BALANCED,95.0
racing,3840x2160,epic,0,dlss_quality,96.16,3591.33,87.68,40.18,74.79,85.46,1665.71,80.0,0.4178,1,1,3840,2160,8294400,4,23.5,42.55,11.5,THERMAL,45.7
fps_aaa,1920x1080,ultra,0,none,91.85,2840.0,69.34,19.88,85.78,92.94,1414.9,80.0,0.2164,0,1,1920,1080,2073600,3,46.9,21.32,26.1,THERMAL,56.3
fps_aaa,2560x1440,low,0,none,63.8,1604.72,39.18,57.44,79.7,65.31,1695.0,70.9,0.9003,0,0,2560,1440,3686400,0,82.0,12.2,50.0,BALANCED,100.0
strategy,1280x720,low,1,none,65.78,1280.74,31.27,64.5,68.87,70.54,1641.84,76.71,0.9805,0,0,1280,720,921600,0,70.9,14.1,32.0,BALANCED,100.0
battle_royale,1920x1080,medium,0,none,64.72,1952.9,47.68,55.34,72.01,77.06,1677.88,67.41,0.8551,0,0,1920,1080,2073600,1,119.4,8.38,68.4,BALANCED,93.8
fps_competitive,2560x1440,low,0,dlss_quality,73.95,1412.18,34.48,47.96,77.38,77.34,1695.0,71.36,0.6486,0,0,2560,1440,3686400,0,224.5,4.45,127.8,BALANCED,93.0
fps_competitive,1920x1080,high,0,fsr_balanced,75.75,2130.63,52.02,49.23,73.78,89.52,1695.0,67.31,0.65,1,1,1920,1080,2073600,2,236.4,4.23,147.9,THERMAL,70.0
rpg_open_world,1920x1080,high,1,dlss_balanced,72.45,2814.29,68.71,54.12,79.38,74.74,1626.73,70.58,0.7471,0,0,1920,1080,2073600,2,61.5,16.26,39.5,BALANCED,100.0
battle_royale,3840x2160,epic,1,dlss_balanced,99.0,4200.0,102.54,53.36,82.92,98.0,1510.61,80.0,0.539,1,1,3840,2160,8294400,4,8.1,123.46,5.1,THERMAL,30.4
moba,2560x1440,ultra,0,dlss_balanced,99.0,3221.98,78.66,70.69,81.89,91.88,1603.51,80.0,0.7141,1,1,2560,1440,3686400,3,69.4,14.41,33.5,THERMAL,70.0
moba,1920x1080,ultra,0,none,79.01,2489.15,60.77,53.05,78.93,82.67,1695.0,78.59,0.6714,1,0,1920,1080,2073600,3,123.3,8.11,65.2,BALANCED,77.0
strategy,3840x2160,medium,0,fsr_balanced,87.51,2157.4,52.67,66.95,79.05,76.14,1695.0,73.23,0.7651,0,0,3840,2160,8294400,1,34.9,28.65,21.8,BALANCED,79.8
strategy,3840x2160,ultra,1,dlss_balanced,93.95,4200.0,102.54,50.65,84.48,83.47,1662.48,71.73,0.5391,1,0,3840,2160,8294400,3,6.7,149.25,4.1,MEMORY,34.0
battle_royale,1920x1080,ultra,0,none,84.45,2586.27,63.14,55.43,87.3,81.53,1601.29,79.27,0.6564,0,0,1920,1080,2073600,3,69.6,14.37,34.1,BALANCED,75.4
fps_competitive,2560x1440,high,0,none,87.74,2641.37,64.49,57.57,80.69,88.05,1695.0,76.69,0.6561,1,1,2560,1440,3686400,2,89.4,11.19,54.5,THERMAL,70.0
fps_competitive,1280x720,high,0,none,49.11,1983.63,48.43,56.16,72.03,71.66,1557.58,63.67,1.1437,0,0,1280,720,921600,2,260.3,3.84,124.9,BALANCED,100.0
battle_royale,1920x1080,high,0,fsr_quality,81.19,2292.24,55.96,42.06,80.87,82.44,1649.32,72.1,0.5181,0,0,1920,1080,2073600,2,120.0,8.33,77.7,BALANCED,77.7
strategy,1920x1080,high,0,fsr_quality,65.99,2196.04,53.61,71.38,77.48,74.98,1636.45,69.07,1.0816,0,0,1920,1080,2073600,2,72.2,13.85,42.4,BALANCED,100.0
fps_aaa,2560x1440,low,0,dlss_performance,82.61,1244.5,30.38,60.83,83.17,84.24,1695.0,72.24,0.7363,0,0,2560,1440,3686400,0,174.2,5.74,101.4,BALANCED,67.3
moba,1920x1080,ultra,0,none,79.22,2735.37,66.78,46.85,87.4,82.46,1695.0,64.94,0.5914,1,0,1920,1080,2073600,3,118.5,8.44,64.5,BALANCED,72.6
battle_royale,1920x1080,ultra,0,fsr_balanced,94.82,2643.52,64.54,57.36,78.72,93.12,1491.33,76.9,0.605,0,1,1920,1080,2073600,3,72.2,13.85,45.0,THERMAL,70.0
strategy,1920x1080,ultra,0,dlss_quality,81.23,2780.67,67.89,86.8,95.68,82.92,1695.0,80.0,1.0686,1,0,1920,1080,2073600,3,45.9,21.79,26.1,CPU,51.9
moba,1920x1080,medium,0,dlss_balanced,69.26,1926.84,47.04,46.46,82.66,76.77,1640.15,70.86,0.6708,0,0,1920,1080,2073600,1,372.4,2.69,204.2,BALANCED,89.7
racing,1920x1080,high,0,fsr_quality,67.51,2037.65,49.75,46.76,84.44,80.57,1671.38,68.71,0.6925,0,0,1920,1080,2073600,2,148.8,6.72,84.8,BALANCED,78.3
moba,3840x2160,high,0,none,95.61,3024.83,73.85,46.17,75.04,82.8,1660.75,80.0,0.4829,1,0,3840,2160,8294400,2,44.5,22.47,21.5,GPU,66.3
moba,1920x1080,high,0,none,78.66,2400.63,58.61,68.7,77.03,87.73,1695.0,70.92,0.8734,1,1,1920,1080,2073600,2,161.8,6.18,74.5,THERMAL,70.0
fps_competitive,1920x1080,high,0,none,68.29,2257.32,55.11,53.09,80.72,76.2,1695.0,58.4,0.7775,1,0,1920,1080,2073600,2,203.7,4.91,118.8,BALANCED,96.4
moba,1920x1080,medium,1,dlss_balanced,59.14,2240.4,54.7,64.05,73.14,68.78,1647.49,65.18,1.0831,1,0,1920,1080,2073600,1,193.9,5.16,96.7,BALANCED,100.0
fps_aaa,2560x1440,high,1,dlss_balanced,93.84,3290.69,80.34,58.87,71.14,94.76,1456.84,79.36,0.6273,0,1,2560,1440,3686400,2,32.4,30.86,21.1,THERMAL,51.6
racing,1920x1080,ultra,0,dlss_balanced,78.9,2683.18,65.51,38.92,73.29,87.11,1652.2,70.8,0.4933,0,1,1920,1080,2073600,3,142.1,7.04,88.6,THERMAL,70.0
fps_competitive,1920x1080,high,1,none,62.78,2662.75,65.01,36.56,87.32,68.04,1670.72,60.51,0.5824,1,0,1920,1080,2073600,2,70.6,14.16,32.8,BALANCED,95.0
rpg_open_world,1920x1080,high,0,none,77.98,2249.86,54.93,56.58,70.91,80.49,1564.26,77.4,0.7256,0,0,1920,1080,2073600,2,63.5,15.75,38.1,BALANCED,83.5
moba,3840x2160,low,1,none,87.07,2089.23,51.01,61.81,77.62,78.17,1672.55,67.01,0.7099,1,0,3840,2160,8294400,0,50.6,19.76,25.7,BALANCED,84.2
rpg_open_world,3840x2160,high,0,none,89.27,2716.6,66.32,71.59,78.38,87.49,1689.29,73.34,0.802,0,1,3840,2160,8294400,2,21.1,47.39,12.8,THERMAL,44.1
battle_royale,1920x1080,epic,0,dlss_balanced,84.37,2851.98,69.63,53.64,78.84,92.79,1608.86,73.11,0.6357,0,1,1920,1080,2073600,4,71.4,14.01,35.2,THERMAL,70.0
fps_aaa,1920x1080,high,0,dlss_quality,60.05,2396.89,58.52,50.75,72.52,74.77,1695.0,68.95,0.8451,0,0,1920,1080,2073600,2,129.1,7.75,62.0,BALANCED,100.0
strategy,1920x1080,medium,0,dlss_balanced,63.52,1726.89,42.16,69.7,77.12,76.44,1695.0,64.44,1.0974,0,0,1920,1080,2073600,1,107.4,9.31,61.1,BALANCED,95.7
racing,1920x1080,medium,0,fsr_balanced,50.05,1876.71,45.82,24.26,74.88,59.93,1695.0,63.36,0.4846,0,0,1920,1080,2073600,1,219.8,4.55,110.6,BALANCED,100.0
battle_royale,3840x2160,medium,0,none,84.31,2097.98,51.22,51.02,78.2,79.45,1695.0,79.66,0.6052,0,0,3840,2160,8294400,1,36.8,27.17,21.4,BALANCED,71.2
racing,1920x1080,high,1,none,61.0,2793.68,68.21,30.7,78.68,76.93,1551.32,72.91,0.5033,0,0,1920,1080,2073600,2,65.4,15.29,31.7,BALANCED,94.2
fps_aaa,1920x1080,high,0,none,81.73,2072.57,50.6,53.09,76.1,87.63,1666.87,80.0,0.6496,0,1,1920,1080,2073600,2,81.6,12.25,38.2,THERMAL,70.0
strategy,2560x1440,high,0,none,79.54,2325.44,56.77,59.26,70.86,82.03,1566.13,70.09,0.7449,0,0,2560,1440,3686400,2,39.3,25.45,25.1,BALANCED,65.1
fps_aaa,1920x1080,epic,0,dlss_performance,85.92,2715.4,66.29,51.64,85.0,90.94,1653.89,72.54,0.601,0,1,1920,1080,2073600,4,71.4,14.01,37.9,THERMAL,65.0
fps_aaa,1920x1080,medium,0,fsr_quality,65.99,1424.95,34.79,54.09,76.69,69.6,1695.0,69.53,0.8198,0,0,1920,1080,2073600,1,131.5,7.6,80.9,BALANCED,100.0
battle_royale,1920x1080,low,1,none,57.45,1602.23,39.12,58.3,80.92,68.11,1536.96,60.41,1.0147,0,0,1920,1080,2073600,0,75.8,13.19,43.8,BALANCED,100.0
battle_royale,1280x720,high,0,none,50.35,1905.07,46.51,55.78,69.12,71.24,1695.0,59.63,1.1079,0,0,1280,720,921600,2,121.0,8.26,58.6,BALANCED,100.0
battle_royale,1920x1080,high,1,fsr_balanced,73.13,2565.38,62.63,45.71,83.47,80.9,1695.0,65.37,0.6251,0,0,1920,1080,2073600,2,70.1,14.27,44.0,BALANCED,77.3
racing,2560x1440,high,0,none,81.75,2521.0,61.55,32.38,71.72,84.34,1695.0,68.65,0.396,0,0,2560,1440,3686400,2,77.4,12.92,44.4,BALANCED,72.0
battle_royale,1280x720,medium,0,dlss_quality,52.88,1492.5,36.44,58.79,72.16,72.58,1682.32,63.37,1.1119,0,0,1280,720,921600,1,224.0,4.46,107.5,BALANCED,100.0
moba,1920x1080,ultra,0,dlss_quality,78.54,2681.54,65.47,69.26,73.62,82.55,1664.62,72.05,0.8818,1,0,1920,1080,2073600,3,171.9,5.82,104.2,BALANCED,77.3
moba,2560x1440,ultra,0,dlss_quality,87.88,2835.96,69.24,60.68,78.38,87.9,1695.0,74.61,0.6906,1,1,2560,1440,3686400,3,92.9,10.76,43.4,THERMAL,70.0
rpg_open_world,2560x1440,ultra,1,none,73.53,3803.68,92.86,57.86,77.89,78.64,1695.0,76.96,0.7869,1,0,2560,1440,3686400,3,13.1,76.34,8.1,MEMORY,57.8
fps_aaa,1280x720,low,0,none,49.86,918.03,22.41,60.11,74.99,65.56,1620.95,65.66,1.2057,0,0,1280,720,921600,0,207.4,4.82,115.3,BALANCED,100.0
racing,3840x2160,high,1,none,94.71,3600.39,87.9,33.85,82.98,84.32,1695.0,74.0,0.3574,1,0,3840,2160,8294400,2,17.1,58.48,9.0,MEMORY,38.4
racing,1920x1080,high,0,none,71.23,2282.53,55.73,41.23,82.89,81.5,1648.35,69.09,0.5789,0,0,1920,1080,2073600,2,117.5,8.51,70.6,BALANCED,75.5
battle_royale,3840x2160,ultra,0,none,93.82,3267.22,79.77,49.36,83.46,97.14,1536.91,79.45,0.526,1,1,3840,2160,8294400,3,14.2,70.42,6.7,THERMAL,34.5
fps_aaa,1920x1080,high,0,fsr_balanced,91.4,1951.54,47.65,57.75,78.47,94.38,1604.23,78.63,0.6319,0,1,1920,1080,2073600,2,103.8,9.63,62.5,THERMAL,70.0
strategy,1920x1080,high,0,fsr_balanced,70.16,2273.17,55.5,77.1,76.82,72.4,1695.0,73.35,1.099,0,0,1920,1080,2073600,2,93.7,10.67,53.7,BALANCED,100.0
fps_aaa,1920x1080,ultra,0,none,74.72,2619.68,63.96,53.48,80.52,78.07,1660.0,74.76,0.7158,0,0,1920,1080,2073600,3,59.6,16.78,38.7,BALANCED,90.5
moba,1920x1080,high,0,none,76.15,2173.99,53.08,50.25,70.92,84.19,1674.53,80.0,0.6599,1,0,1920,1080,2073600,2,193.7,5.16,91.2,BALANCED,72.4
fps_aaa,1920x1080,high,0,fsr_balanced,68.0,2235.36,54.57,55.28,85.87,81.06,1643.06,73.54,0.8129,0,0,1920,1080,2073600,2,128.2,7.8,71.0,BALANCED,76.8
battle_royale,1920x1080,high,0,none,76.84,2264.89,55.3,39.35,81.46,88.03,1563.48,70.15,0.512,0,1,1920,1080,2073600,2,89.4,11.19,47.6,THERMAL,70.0
racing,2560x1440,ultra,0,none,95.85,3091.42,75.47,44.49,72.87,97.88,1635.71,80.0,0.4641,1,1,2560,1440,3686400,3,36.8,27.17,22.3,THERMAL,54.5
rpg_open_world,1920x1080,high,0,dlss_quality,77.11,2060.93,50.32,50.67,60.77,80.59,1695.0,80.0,0.6572,0,0,1920,1080,2073600,2,105.3,9.5,63.5,BALANCED,83.2
racing,1920x1080,medium,0,dlss_balanced,62.45,1853.27,45.25,43.82,73.84,71.84,1695.0,72.66,0.7017,0,0,1920,1080,2073600,1,233.6,4.28,117.6,BALANCED,100.0
fps_competitive,1920x1080,low,1,dlss_balanced,57.81,1348.38,32.92,41.69,71.84,69.0,1695.0,68.75,0.7211,0,0,1920,1080,2073600,0,241.0,4.15,111.0,BALANCED,100.0
moba,2560x1440,high,0,dlss_performance,88.57,2472.31,60.36,51.97,71.62,87.08,1653.23,71.88,0.5868,1,1,2560,1440,3686400,2,193.3,5.17,113.4,THERMAL,70.0
fps_competitive,1920x1080,medium,0,fsr_balanced,66.41,1596.18,38.97,49.33,78.52,69.6,1461.29,70.43,0.7428,0,0,1920,1080,2073600,1,344.5,2.9,186.9,BALANCED,100.0
rpg_open_world,2560x1440,high,1,none,83.54,3097.99,75.63,69.75,73.2,81.66,1618.73,74.85,0.8349,0,0,2560,1440,3686400,2,26.9,37.17,13.2,BALANCED,58.0
battle_royale,2560x1440,medium,0,dlss_balanced,89.66,2240.37,54.7,56.8,90.11,83.27,1639.24,72.57,0.6335,0,0,2560,1440,3686400,1,91.7,10.91,55.9,BALANCED,60.2
strategy,2560x1440,ultra,0,dlss_balanced,78.35,3069.04,74.93,73.01,86.21,88.01,1692.76,76.25,0.9318,1,1,2560,1440,3686400,3,33.4,29.94,18.6,THERMAL,47.3
fps_aaa,1920x1080,high,1,fsr_quality,79.31,2799.62,68.35,44.28,70.3,79.98,1695.0,79.54,0.5583,0,0,1920,1080,2073600,2,54.3,18.42,33.3,BALANCED,81.2
battle_royale,1920x1080,high,1,dlss_balanced,73.19,2783.57,67.96,67.12,80.71,74.69,1695.0,69.68,0.917,0,0,1920,1080,2073600,2,87.1,11.48,42.0,BALANCED,100.0
rpg_open_world,2560x1440,low,1,dlss_quality,64.81,1915.77,46.77,43.43,76.59,72.31,1660.69,61.04,0.6701,0,0,2560,1440,3686400,0,58.5,17.09,29.3,BALANCED,99.0
racing,2560x1440,high,1,fsr_balanced,80.48,3095.47,75.57,39.89,65.82,85.27,1695.0,65.57,0.4957,1,1,2560,1440,3686400,2,61.5,16.26,38.0,THERMAL,70.0
rpg_open_world,2560x1440,medium,1,fsr_balanced,74.46,2528.03,61.72,49.25,71.96,76.61,1647.47,69.38,0.6614,0,0,2560,1440,3686400,1,44.8,22.32,23.4,BALANCED,85.0
